"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG000006",6756460.00,337820.00,2015
"AG000054",1826125.00,91305.00,2015
"AG000063",2650405.00,370199.00,2015
"AG000096",11355062.00,567751.00,2015
"AG000097",11585420.00,579270.00,2015
"AG000121",1324200.00,66210.00,2015
"AG000133",767000.00,38350.00,2015
"AG000159",2740778.00,328783.00,2015
"AG000185",951550.00,47577.00,2015
"AG000187",35599382.00,1779965.00,2015
"AG000193",18834460.00,1087797.00,2015
"AG000206",635550.00,31777.00,2015
"AG000211",1255600.00,62779.00,2015
"AG000223",5732103.00,504359.00,2015
"AG000235",1080275.00,54013.00,2015
"AG000333",26101338.00,1305065.00,2015
"AG000387",346375.00,17318.00,2015
"AG000397",986975.00,49348.00,2015
"AG000421",600650.00,30032.00,2015
"AG000442",6034660.00,301733.00,2015
"AG000443",6008075.00,300403.00,2015
"AG000466",3849560.00,192478.00,2015
"AG000473",3012553.00,150627.00,2015
"AG000532",2958505.00,147924.00,2015
"AG000544",1491020.00,74551.00,2015
"AG000551",101320371.00,5066013.00,2015
"AG000553",25396064.00,1269803.00,2015
"AG000560",7853250.00,392661.00,2015
"AG000585",939965.00,46998.00,2015
"AG000597",3557550.00,177876.00,2015
"AG000599",639920.00,31996.00,2015
"AG000618",2816100.00,140805.00,2015
"AG000626",576350.00,28817.00,2015
"AG000700",987750.00,49387.00,2015
"AG000704",54688371.00,2783122.00,2015
"AG000706",6757409.00,337870.00,2015
"AG000707",2522850.00,126142.00,2015
"AG000735",4177560.00,208877.00,2015
"AG000790",2621825.00,131091.00,2015
"AG000831",4057480.00,202874.00,2015
"AG000835",1231800.00,61590.00,2015
"AG000840",1636350.00,81817.00,2015
"AG000846",2667953.00,133397.00,2015
"AG000860",441203.00,259740.00,2015
"AG000867",1007925.00,50396.00,2015
"AG000877",5130680.00,289542.00,2015
"AG000878",3391280.00,169562.00,2015
"AG000883",5711013.00,437836.00,2015
"AG000899",1360550.00,68027.00,2015
"AG000900",4026250.00,201312.00,2015
"AG000914",6462254.00,323112.00,2015
"AG000915",616825.00,30841.00,2015
"AG000917",3286200.00,164310.00,2015
"AG000950",3593300.00,179664.00,2015
"AG000951",5732835.00,286641.00,2015
"AG000957",3684600.00,184229.00,2015
"AG000960",8514448.00,515225.00,2015
"AG000963",13351196.00,667559.00,2015
"AG000974",307675.00,15383.00,2015
"AG000975",2541684.00,127084.00,2015
"AG000988",594555.00,29727.00,2015
"AG000990",12316867.00,615840.00,2015
"AG000992",4522240.00,226112.00,2015
