"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG002382",4034340.00,201717.00,2017
"AG002409",23676896.00,1183844.00,2017
"AG002410",38376060.00,1918800.00,2017
"AG002412",3300000.00,165000.00,2017
"AG002463",105113118.00,5255654.00,2017
"AG002477",2395975.00,119798.00,2017
"AG002480",41786429.00,2089319.00,2017
"AG002481",50341586.00,2517078.00,2017
"AG002502",11704400.00,585218.00,2017
"AG002510",1019400.00,50970.00,2017
"AG002522",14397110.00,719854.00,2017
"AG002527",7921990.00,396099.00,2017
"AG002558",40657913.00,2032894.00,2017
"AG002559",52675313.00,2633764.00,2017
"AG002591",7854106.00,392705.00,2017
"AG002593",45206579.00,2260327.00,2017
"AG002598",4671359.00,233567.00,2017
"AG002601",1252200.00,62609.00,2017
"AG002603",40539603.00,2026979.00,2017
"AG002616",19140125.00,957005.00,2017
"AG002623",20681454.00,1034072.00,2017
"AG002639",30706719.00,1535334.00,2017
"AG002645",6296165.00,314807.00,2017
"AG002659",4087310.00,204365.00,2017
"AG002660",4872567.00,243627.00,2017
"AG002678",2519300.00,125964.00,2017
"AG002681",33863561.00,1747817.00,2017
"AG002690",6437590.00,321878.00,2017
"AG002725",39040250.00,1952011.00,2017
"AG002729",8212425.00,410621.00,2017
"AG002739",2068890.00,103444.00,2017
"AG002741",667700.00,33385.00,2017
"AG002759",93153895.00,4657692.00,2017
"AG002785",2019750.00,100987.00,2017
"AG002793",9634445.00,481722.00,2017
"AG002806",14107375.00,705367.00,2017
"AG002839",33368690.00,1668433.00,2017
"AG002855",61388745.00,3069436.00,2017
"AG002876",4104850.00,205242.00,2017
"AG002877",2349250.00,117462.00,2017
"AG002884",988900.00,49445.00,2017
"AG002903",13549400.00,677469.00,2017
"AG002907",1198425.00,59921.00,2017
"AG002915",2552550.00,127627.00,2017
"AG002920",19484291.00,974212.00,2017
"AG002921",457206603.00,22860328.00,2017
"AG002922",27747748.00,1387385.00,2017
"AG002927",23884895.00,1194243.00,2017
"AG002928",249279025.00,12463950.00,2017
"AG002929",12436232.00,621811.00,2017
"AG002930",9952800.00,497640.00,2017
"AG002932",282225975.00,14111297.00,2017
"AG002937",30441434.00,1522070.00,2017
"AG002939",15722541.00,786125.00,2017
"AG002942",173271813.00,8663588.00,2017
"AG002946",5618902.00,280944.00,2017
"AG002948",7040270.00,352013.00,2017
"AG002962",1597400.00,79870.00,2017
"AG002974",3605800.00,180290.00,2017
"AG003011",3405305.00,170264.00,2017
"AG003013",3741950.00,187097.00,2017
"AG003021",25998607.00,1299929.00,2017
"AG003025",40918041.00,2045902.00,2017
"AG003041",63203496.00,3160174.00,2017
"AG003046",1040550.00,52027.00,2017
"AG003060",618750.00,30937.00,2017
"AG003081",43716034.00,2185800.00,2017
"AG003087",16097100.00,804853.00,2017
"AG003096",31315722.00,1565785.00,2017
"AG003102",12980609.00,649028.00,2017
"AG003106",5928750.00,296437.00,2017
"AG003120",14555621.00,727780.00,2017
"AG003123",5431824.00,271591.00,2017
"AG003131",15205776.00,760288.00,2017
"AG003132",76916369.00,3845817.00,2017
"AG003137",45972677.00,2298632.00,2017
"AG003142",2919040.00,145951.00,2017
"AG003144",51841466.00,2592072.00,2017
"AG003159",6002395.00,300119.00,2017
"AG003172",10185925.00,509295.00,2017
"AG003188",9995524.00,499775.00,2017
"AG003199",116627354.00,5831365.00,2017
"AG003203",3198194.00,159909.00,2017
"AG003229",1104650.00,55232.00,2017
"AG003231",7266319.00,363315.00,2017
"AG003235",912700.00,45635.00,2017
"AG003239",6946825.00,347340.00,2017
"AG003285",988875.00,49443.00,2017
"AG003290",103756543.00,5187826.00,2017
"AG003293",5041970.00,252098.00,2017
"AG003297",4714325.00,235716.00,2017
"AG003298",7066200.00,353308.00,2017
"AG003302",17533415.00,876669.00,2017
"AG003308",1365649.00,68282.00,2017
"AG003321",53615917.00,2680793.00,2017
"AG003327",7494487.00,374724.00,2017
"AG003336",5438785.00,271938.00,2017
"AG003358",4636475.00,231823.00,2017
"AG003359",9457040.00,472851.00,2017
"AG003360",4971900.00,248594.00,2017
"AG003361",11098500.00,554925.00,2017
"AG003376",667350.00,33367.00,2017
"AG003377",101612443.00,5080620.00,2017
"AG003381",25477518.00,1273874.00,2017
"AG003382",91680310.00,4584014.00,2017
"AG003387",2441150.00,122056.00,2017
"AG003401",11678780.00,583938.00,2017
"AG003409",12224105.00,611204.00,2017
"AG003410",12697086.00,634853.00,2017
"AG003413",78137472.00,3906871.00,2017
"AG003419",4116880.00,205843.00,2017
"AG003420",5846150.00,292307.00,2017
"AG003421",1010050.00,50502.00,2017
"AG003441",107493317.00,5374664.00,2017
"AG003442",16068492.00,803424.00,2017
"AG003443",3612275.00,180612.00,2017
"AG003446",441338602.00,22066928.00,2017
"AG003447",9169395.00,458469.00,2017
"AG003448",3152450.00,157622.00,2017
"AG003449",277748685.00,13887432.00,2017
"AG003450",1435875.00,71793.00,2017
"AG003466",408170.00,20408.00,2017
"AG003498",10353955.00,517696.00,2017
"AG003513",15396240.00,769812.00,2017
"AG003516",4366900.00,218344.00,2017
"AG003517",2203170.00,110158.00,2017
"AG003525",1874850.00,93742.00,2017
"AG003526",4337400.00,216870.00,2017
"AG003527",1858725.00,92936.00,2017
"AG003532",16243965.00,812198.00,2017
"AG003543",36537565.00,1826877.00,2017
"AG003546",7038570.00,351927.00,2017
"AG003568",7512980.00,375649.00,2017
"AG003570",5823400.00,291169.00,2017
"AG003572",10957950.00,547897.00,2017
"AG003580",2030900.00,101544.00,2017
"AG003591",4487000.00,224349.00,2017
"AG003594",1384750.00,69237.00,2017
"AG003606",180034420.00,9001720.00,2017
"AG003609",11250785.00,562539.00,2017
"AG003634",2524530.00,126226.00,2017
"AG003643",7566830.00,378340.00,2017
"AG003645",11218500.00,560924.00,2017
"AG003649",3014750.00,150737.00,2017
"AG003652",17562872.00,878143.00,2017
"AG003653",9107272.00,455362.00,2017
"AG003670",5716800.00,285839.00,2017
"AG003708",30892775.00,1544638.00,2017
"AG003709",18727672.00,936382.00,2017
"AG003710",12135171.00,606758.00,2017
"AG003726",1448475.00,72423.00,2017
"AG003732",7921715.00,396084.00,2017
"AG003740",2827475.00,141372.00,2017
"AG003743",14958867.00,747941.00,2017
"AG003747",121649429.00,6082469.00,2017
"AG003766",1547250.00,77362.00,2017
"AG003769",6209055.00,310452.00,2017
"AG003772",274500.00,13725.00,2017
"AG003779",2293925.00,114695.00,2017
"AG003793",451982816.00,22599139.00,2017
"AG003794",1016400.00,50820.00,2017
"AG003823",10614318.00,530715.00,2017
"AG003840",13405380.00,670269.00,2017
"AG003847",11827756.00,591387.00,2017
"AG003865",28122885.00,1406142.00,2017
"AG003872",5846230.00,292311.00,2017
"AG003874",2873805.00,143689.00,2017
"AG003876",1565300.00,78265.00,2017
"AG003878",40850600.00,2042528.00,2017
"AG003880",488514089.00,24425703.00,2017
"AG003882",888300.00,44415.00,2017
"AG003885",17400799.00,870039.00,2017
"AG003918",12235575.00,611778.00,2017
"AG003921",7807865.00,390391.00,2017
"AG003923",4462556.00,223126.00,2017
"AG003924",56051503.00,2802574.00,2017
"AG003927",22670704.00,1133533.00,2017
"AG003928",21061142.00,1053056.00,2017
"AG003931",48763448.00,2438171.00,2017
"AG003936",18891810.00,944590.00,2017
"AG003937",679450.00,33972.00,2017
"AG003960",4102050.00,205102.00,2017
"AG003988",3549200.00,177460.00,2017
"AG004002",3986350.00,199316.00,2017
"AG004004",4265750.00,213287.00,2017
"AG004013",2898200.00,144910.00,2017
"AG004016",1360800.00,68040.00,2017
"AG004019",290300.00,14515.00,2017
"AG004026",1123320.00,56166.00,2017
"AG004029",12755635.00,637781.00,2017
"AG004034",128478949.00,6423946.00,2017
"AG004039",33133051.00,1656650.00,2017
"AG004042",2834775.00,141738.00,2017
"AG004044",1967575.00,98378.00,2017
"AG004048",57978733.00,2898935.00,2017
"AG004049",40231009.00,2011548.00,2017
"AG004050",17431013.00,871548.00,2017
"AG004051",20078830.00,1003941.00,2017
"AG004061",932325.00,46616.00,2017
"AG004062",11381005.00,569049.00,2017
"AG004080",2307775.00,115388.00,2017
"AG004106",7202735.00,360136.00,2017
"AG004115",3134700.00,156734.00,2017
"AG004126",1463075.00,73153.00,2017
