"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG001754",29369453.00,0.00,2016
"AG001755",593172660.00,29658626.00,2016
"AG001756",54307037.00,0.00,2016
"AG001759",26902363.00,1345115.00,2016
"AG001762",6253686.00,381636.00,2016
"AG001764",41336516.00,0.00,2016
"AG001769",9824962.00,565304.00,2016
"AG001773",20326675.00,0.00,2016
"AG001778",6783040.00,0.00,2016
"AG001791",11029840.00,0.00,2016
"AG001793",17575235.00,0.00,2016
"AG001796",1743225.00,87161.00,2016
"AG001799",52759307.00,0.00,2016
"AG001801",3011250.00,283777.00,2016
"AG001808",1428344.00,171965.00,2016
"AG001815",100142343.00,5007112.00,2016
"AG001816",2434550.00,121727.00,2016
"AG001826",17779580.00,0.00,2016
"AG001831",3864050.00,0.00,2016
"AG001857",61911153.00,0.00,2016
"AG001870",1463450.00,73172.00,2016
"AG001871",4035317.00,201764.00,2016
"AG001879",107022837.00,5351139.00,2016
"AG001880",291474645.00,14573730.00,2016
"AG001887",110140652.00,5507027.00,2016
"AG001899",793490598.00,39674526.00,2016
"AG001902",1936470.00,96823.00,2016
"AG001926",698700.00,34934.00,2016
"AG001930",3706755.00,185337.00,2016
"AG001938",50610996.00,2530545.00,2016
"AG001939",633259853.00,31662989.00,2016
"AG001947",41754307.00,0.00,2016
"AG001948",1377375.00,68868.00,2016
"AG001964",17246286.00,890974.00,2016
"AG001967",46496208.00,0.00,2016
"AG001969",360476024.00,18023796.00,2016
"AG001977",21799932.00,1089995.00,2016
"AG001978",28676980.00,0.00,2016
"AG001992",14997203.00,0.00,2016
"AG001995",273235232.00,13661758.00,2016
"AG001996",29286668.00,0.00,2016
"AG001997",10709056.00,621904.00,2016
"AG002001",88665386.00,0.00,2016
"AG002004",1419000.00,70950.00,2016
"AG002012",25549129.00,0.00,2016
"AG002024",94994540.00,0.00,2016
"AG002029",180616890.00,9030840.00,2016
"AG002030",1338095.00,66904.00,2016
"AG002035",47216823.00,0.00,2016
"AG002040",682708810.00,34135435.00,2016
"AG002048",904323455.00,45216169.00,2016
"AG002059",22342267.00,0.00,2016
"AG002061",76184997.00,3809247.00,2016
"AG002085",600600.00,30030.00,2016
"AG002114",739415848.00,36970786.00,2016
